id,municipality,ward,precinct,registered_voters,ballots_cast_total,ballots_cast_dem,brownsberger_votes,lander_votes,other_votes,blank_votes,result_status
BOS-04-10,Boston,4,10,459,49,48,25,20,0,3,official_recount_precinct
BOS-04-12,Boston,4,12,501,72,66,31,33,0,2,official_recount_precinct
BOS-05-02,Boston,5,2,1587,238,234,92,119,2,21,official_recount_precinct
BOS-05-10,Boston,5,10,1215,167,158,57,91,0,10,official_recount_precinct
BOS-05-12,Boston,5,12,1177,168,163,61,94,0,8,official_recount_precinct
BOS-05-15,Boston,5,15,1237,208,186,105,67,0,14,official_recount_precinct
BOS-21-01,Boston,21,1,1845,295,284,102,169,1,12,official_recount_precinct
BOS-21-02,Boston,21,2,569,40,39,10,26,0,3,official_recount_precinct
BOS-21-03,Boston,21,3,1257,174,168,44,115,0,9,official_recount_precinct
BOS-21-04,Boston,21,4,1120,153,150,48,96,0,6,official_recount_precinct
BOS-21-05,Boston,21,5,1557,269,262,84,169,0,9,official_recount_precinct
BOS-21-06,Boston,21,6,1177,306,294,123,156,0,15,official_recount_precinct
BOS-21-07,Boston,21,7,1602,271,257,90,155,0,12,official_recount_precinct
BOS-21-08,Boston,21,8,1940,337,329,87,227,0,15,official_recount_precinct
BOS-21-09,Boston,21,9,2617,372,355,106,232,0,17,official_recount_precinct
BOS-21-10,Boston,21,10,1637,280,270,64,191,0,15,official_recount_precinct
BOS-21-11,Boston,21,11,1816,293,279,92,174,0,13,official_recount_precinct
BOS-21-12,Boston,21,12,1616,283,264,109,130,2,23,official_recount_precinct
BOS-21-13,Boston,21,13,2137,423,387,161,203,0,23,official_recount_precinct
BOS-21-14,Boston,21,14,1083,211,203,70,122,1,10,official_recount_precinct
BOS-21-15,Boston,21,15,1307,265,257,80,163,0,14,official_recount_precinct
BOS-21-16,Boston,21,16,1671,404,381,183,176,0,22,official_recount_precinct
BOS-22-01,Boston,22,1,2140,329,308,113,169,0,26,official_recount_precinct
BOS-22-02,Boston,22,2,2650,486,456,159,268,0,29,official_recount_precinct
BOS-22-03,Boston,22,3,2046,446,416,148,239,0,29,official_recount_precinct
BOS-22-04,Boston,22,4,1432,395,373,163,200,0,10,official_recount_precinct
BOS-22-05,Boston,22,5,1804,263,245,76,159,1,9,official_recount_precinct
BOS-22-06,Boston,22,6,1218,222,197,74,114,0,9,official_recount_precinct
BOS-22-07,Boston,22,7,1673,373,351,148,192,1,10,official_recount_precinct
BOS-22-08,Boston,22,8,1271,269,245,118,112,0,15,official_recount_precinct
BOS-22-09,Boston,22,9,1479,300,262,111,141,0,10,official_recount_precinct
BOS-22-10,Boston,22,10,1631,385,361,120,222,0,19,official_recount_precinct
BOS-22-11,Boston,22,11,1145,292,274,110,155,0,9,official_recount_precinct
BOS-22-12,Boston,22,12,1540,268,243,102,125,0,16,official_recount_precinct
BOS-22-13,Boston,22,13,1066,244,228,103,107,0,18,official_recount_precinct
CAM-08-02,Cambridge,8,2,2015,800,790,392,327,0,71,official_recount_precinct
CAM-09-01,Cambridge,9,1,2855,1191,1157,530,593,0,34,official_recount_precinct
CAM-09-02,Cambridge,9,2,2728,875,837,357,435,0,45,official_recount_precinct
CAM-09-03,Cambridge,9,3,2462,906,878,335,507,0,36,official_recount_precinct
WAT-00-01,Watertown,,1,1987,467,424,232,175,0,17,official_recount_precinct
WAT-00-02,Watertown,,2,2074,602,569,217,342,0,10,official_recount_precinct
WAT-00-03,Watertown,,3,2030,709,660,282,364,0,14,official_recount_precinct
WAT-00-04,Watertown,,4,2255,845,797,365,410,1,21,official_recount_precinct
WAT-00-05,Watertown,,5,1918,496,473,193,266,0,14,official_recount_precinct
WAT-00-06,Watertown,,6,1911,513,493,215,255,0,23,official_recount_precinct
WAT-00-07,Watertown,,7,2169,752,677,350,309,0,18,official_recount_precinct
WAT-00-08,Watertown,,8,2016,722,675,338,318,0,19,official_recount_precinct
WAT-00-09,Watertown,,9,1842,526,459,218,227,1,13,official_recount_precinct
WAT-00-10,Watertown,,10,2211,655,582,303,242,3,34,official_recount_precinct
WAT-00-11,Watertown,,11,2101,764,669,320,318,0,31,official_recount_precinct
WAT-00-12,Watertown,,12,2085,606,528,265,227,0,36,official_recount_precinct
BEL-00-01,Belmont,,1,2390,920,848,625,197,1,25,official_recount_precinct
BEL-00-02,Belmont,,2,2758,833,726,529,169,2,26,official_recount_precinct
BEL-00-03,Belmont,,3,2464,827,740,480,235,1,24,official_recount_precinct
BEL-00-04,Belmont,,4,2186,647,584,337,230,0,17,official_recount_precinct
BEL-00-05,Belmont,,5,2409,802,729,456,262,0,11,official_recount_precinct
BEL-00-06,Belmont,,6,2638,1057,983,683,280,1,19,official_recount_precinct
BEL-00-07,Belmont,,7,2374,809,721,442,259,0,20,official_recount_precinct
BEL-00-08,Belmont,,8,2153,742,657,460,180,0,17,official_recount_precinct
